estacion,contaminante,n_dagma_portal,n_sisaire,median_dagma_portal,median_sisaire,p95_dagma_portal,p95_sisaire,ratio_medianas
CAÑAVERALEJO,SO2,16805,2197,1.15,2.7,6.42,3.59,0.426
COMPARTIR,O3,33233,8872,18.05,8.97,72.87,21.33,2.012
LA ERMITA,SO2,21193,8468,3.5,4.03,15.28,8.28,0.868
LA FLORA,O3,33316,6931,6.8,5.0,44.5,28.37,1.359
LA FLORA,SO2,12492,5311,11.49,4.14,38.84,12.93,2.775
PANCE,O3,36501,6309,19.04,4.6,96.59,39.74,4.135
UNIVERSIDAD DEL VALLE,O3,47044,6843,19.64,7.67,90.27,21.87,2.561
