estacion,lat,lon,media,mediana,std,p95,p99,amp_diurna,hora_pico,acf1,cluster,pc1,pc2
ACOPI,3.501678,-76.507554,14.511539192120393,9.265333333333334,17.888482093491373,48.3,93.0948000000001,15.30178511010553,11,0.9051487827778594,0,0.8062837320763363,-1.5668742420392812
BASE AÉREA,3.457128,-76.502303,5.431526488541442,4.739999999999999,5.067781642746658,13.838599999999998,23.883200000000013,3.7618779347751055,14,0.9549033945684842,1,-2.0862960947177736,1.4351221408632784
CAÑAVERALEJO,3.416366,-76.549613,1.9129807801040006,1.3,2.1829852352431938,6.08,10.17,2.1016593488292683,11,0.9023627726712609,1,-3.3065573477922707,-1.166507403960319
COMPARTIR,3.42826,-76.466584,22.704522123760654,14.72,20.913684566171064,68.5,91.72,40.6471998604017,15,0.935255305734746,0,3.25496487546536,0.8735307401006853
ERA OBRERO,3.457317,-76.506539,9.0617615709354,6.502020202020202,9.535502667169174,26.644599999999983,43.40880000000005,14.251363481668884,15,0.9405931444798475,1,-0.6631733057377656,1.3224599429354642
ESCUELA_ARGENTINA,3.457317,-76.506539,17.723372362598354,11.11,18.58303775675639,57.44,83.27049999999981,24.817004799855262,12,0.903588076257442,0,1.5769724500354578,-1.1925691064577084
LA ERMITA,3.455514,-76.530978,4.229624984933132,4.03,2.2909666291763044,8.278249999999998,10.1655,1.6641715631245435,11,0.9808546095755205,1,-3.088449405071462,1.067139163202948
LA FLORA,3.488218,-76.518058,7.111818544636474,4.63,7.880911910967863,21.799249999999983,39.1359,7.24843062986171,14,0.9237578719000257,1,-1.4052591526180878,0.46267894688622885
LA_ERMITA,3.455514,-76.530978,5.243317032332084,3.5,5.229539264675477,15.28,26.678799999999793,5.375651931118469,10,0.8764649774511033,1,-2.433615505466489,-2.408439759358162
LA_FLORA,3.488218,-76.518058,17.353603190460078,13.83,15.017716691310566,45.46,67.53059999999998,16.088443723863485,12,0.9016027396998102,0,1.0268233053565998,-1.1967086851543685
MOVIL,3.510503,-76.308111,8.057840521737024,5.94,8.084372418008382,25.5,37.9,10.785676195700646,13,0.9411633864481749,1,-1.2615493036729013,0.5686360484892578
PANCE,3.304517,-76.531252,27.914266411371695,15.5,30.314681990359247,93.40549999999996,125.4,59.88228920068729,15,0.9346372312299391,0,5.345869879309967,0.6883235774972392
TRANSITORIA-NAVARRO,3.417183,-76.49496,13.294020600919493,8.22,12.842358104513549,40.21639999999999,63.03143999999994,17.79685402587798,14,0.9357610333511317,1,0.2955266820321507,0.6660298571741875
UNIVALLE,3.377911,-76.533811,22.536730396686725,14.9,22.748458048434166,73.17279999999992,111.64479999999982,29.112691417094567,13,0.9133743059374839,0,3.1642654372947803,-0.6794311778155838
UNIVERSIDAD DEL VALLE,3.377911,-76.533811,8.037437676787599,7.67,8.826972211188147,21.867599999999996,45.61309999999999,5.414868563212327,13,0.9622539042621469,1,-1.2258062464939,1.1266099576361315
